sidebar|accordion_panel|component|gate_flag|pipeline-static|pipeline-exploration-simple|pipeline-exploration-advanced|project-independent|developer|code_status|phase25_action|notes
LEFT|Nav Pills|Home tab|always_on|SHOW|SHOW|SHOW|SHOW|SHOW|IMPLEMENTED|NONE|Always visible — no change
LEFT|Nav Pills|Blueprint Architect tab|wrangle_studio_enabled|HIDE|SHOW|SHOW|SHOW|SHOW|IMPLEMENTED|NONE|Correctly gated via bootloader.is_enabled()
LEFT|Nav Pills|Test Lab tab|developer_mode_enabled|HIDE|HIDE|HIDE|HIDE|SHOW|IMPLEMENTED|RENAME_UI|Rename label from 'Dev Studio' to 'Test Lab'. Same gate flag. Purpose: tools for testing and mock data generation.
LEFT|Nav Pills|Gallery tab|gallery_enabled|HIDE|HIDE|HIDE|SHOW|SHOW|BUG_WRONG|FIX_BUG + CONFIG|(1) Fix gallery always-visible bug in conditional rendering. (2) Add gallery_enabled=true to project-independent_template.yaml. Update cheatsheet and persona capability matrix.
LEFT|Accordion|Manifest Choice|manifest_selector.visible (new field)|HIDE|HIDE|SHOW|SHOW|SHOW|NOT_GATED|NEW_FIELD + RENAME_UI + VALIDATOR|Rename UI label from 'Project Navigator' to 'Manifest Choice'. New section in persona template: manifest_selector.visible (true/false). When false: selector not rendered — manifest fixed via manifest_selector.fixed_manifest path in template. Validator at startup: if visible=false then fixed_manifest must be a non-null path to an existing file. pipeline-static and pipeline-exploration-simple both get visible=false (automated pipeline personas — one pipeline produces one type of data processed by one manifest).
LEFT|Accordion|Data Import — data directory / file selector|testing_mode (new persona flag)|SHOW(RO)|SHOW(RO)|SHOW|SHOW|SHOW|MISSING|NEW_FIELD + BUILD_NEW|New accordion panel: 'Data Import'. New persona flag testing_mode: true/false (set in persona template — NOT a UI toggle). pipeline-static and pipeline-exploration-simple: always testing_mode=false (production mode — data injected by pipeline) → SHOW(RO): read-only display of injected data path(s) only. Exploration personas (advanced / project-independent / developer): testing_mode=true by default → selector pre-fills from manifest default test data paths but user CAN override to test with other data. testing_mode=false for these personas: selector is empty — user must provide data path(s). Selector must support multiple files as required by manifest (data + metadata + additional datasets).
LEFT|Accordion|Data Import — metadata dataset replacement (TSV upload)|metadata_ingestion_enabled|HIDE|HIDE|SHOW|SHOW|SHOW|NOT_GATED|GATE + RESTRUCTURE|Move from System Tools to Data Import. DISTINCT from manifest upload: this replaces the METADATA DATASET (TSV file) — not the manifest recipe. Must conform to the metadata schema defined in the manifest. Gate on bootloader.is_enabled('metadata_ingestion_enabled'). Hidden for pipeline personas (static + simple).
LEFT|Accordion|Data Import — multi-file / Excel data ingestion|data_ingestion_enabled|HIDE|HIDE|HIDE|SHOW|SHOW|NOT_GATED|GATE + RESTRUCTURE|Move from System Tools to Data Import. Upload new raw data files (TSV / Excel sheets). Needs data-type-to-manifest mapping: user maps uploaded files to manifest dataset slots (data / metadata / additional). Gate on bootloader.is_enabled('data_ingestion_enabled').
LEFT|Accordion|Filters — pending row list (read-only display)|always_on|SHOW(RO)|SHOW|SHOW|SHOW|SHOW|IMPLEMENTED|NONE|Passive display of staged filter rows. No change needed for any persona.
LEFT|Accordion|Filters — filter form (column / op / value inputs)|interactivity_enabled|HIDE|SHOW(EXP)|SHOW|SHOW|SHOW|NOT_GATED|GATE|Gate on bootloader.is_enabled('interactivity_enabled'). pipeline-static (interactivity_enabled=false): hide form entirely + show static message 'Filters are set by the pipeline configuration'. pipeline-exploration-simple: show form + disclaimer label 'Exploration only — filters are not saved and do not modify data permanently'.
