sidebar,zone,component,sub_component,gate_flag,code_status,pipeline-static,pipeline-exploration-simple,pipeline-exploration-advanced,project-independent,developer,testing_notes,desired_change
LEFT,Nav Pills,Home tab,,always_on,IMPLEMENTED,SHOW,SHOW,SHOW,SHOW,SHOW,,Always visible — no change needed
LEFT,Nav Pills,Blueprint Architect tab,,wrangle_studio_enabled,IMPLEMENTED,HIDE,SHOW,SHOW,SHOW,SHOW,,OK — bootloader.is_enabled() used correctly
LEFT,Nav Pills,Dev Studio tab,,developer_mode_enabled,IMPLEMENTED,HIDE,HIDE,HIDE,HIDE,SHOW,,Rename ? Mock data generator ? 
LEFT,Nav Pills,Gallery tab,,gallery_enabled,IMPLEMENTED,HIDE,HIDE,HIDE,HIDE,SHOW,BUG: Gallery always visible on single persona — either config wrong or conditional rendering broken (UI_user_test §Part4),Fix config or gate check; test with pipeline-static and pipeline-exploration-simple — should be HIDE
LEFT,Accordion > Project Navigator,Project selector (project_id),,always_on,IMPLEMENTED,SHOW,SHOW,SHOW,SHOW,SHOW,"NOTE: currently named 'Project Navigator' but it is actually a manifest navigator (selects a project manifest, not raw data location)",RENAME label to 'Manifest Navigator'. Male HIDE that can be configured in the persona configuration. When hidden One manifest must be chosen: project fixed by config. This will be used for all pipelines Persona. User should not be able to see nor switch the Manifest Navigator in pipeline persona
LEFT,Accordion > Data Navigator (PROPOSED NEW),Data location / directory selector,,always_on,MISSING,SHOW,SHOW,SHOW,SHOW,SHOW,Not yet built. Eve notes: add a Data Navigator available to all personas for ingestion — distinct from the manifest/project selector.,Build new accordion panel 'Data Navigator': allows user to set/override data input directory or select individual files. Visible all personas. For pipeline-static: read-only display of configured path only.
LEFT,Accordion > Data Navigator (PROPOSED NEW),Manifest ingestion (upload YAML),,metadata_ingestion_enabled / import_helper_enabled,MISSING,HIDE,HIDE,SHOW,SHOW,SHOW,Currently manifest upload is buried in Blueprint Architect sidebar (wrangle_studio mode). Eve wants it closer to the project selector for advanced personas.,Move or duplicate manifest upload into Data Navigator for advanced+. Gate on metadata_ingestion_enabled.
LEFT,Accordion > Data Navigator (PROPOSED NEW),Test data on/off toggle (use manifest default vs user-selected data),,always_on,MISSING,SHOW,SHOW,SHOW,SHOW,SHOW,Eve notes: config file should be able to point to default test data (on/off). When off: user must select data directory/files.,Add toggle: 'Use test data from manifest (on/off)'. When off: file/directory selector becomes active.
LEFT,Accordion > Filters,Pending filter rows (read-only list),,always_on,IMPLEMENTED,SHOW,SHOW,SHOW,SHOW,SHOW,OK,No change needed — passive display is correct for all personas
LEFT,Accordion > Filters,Filter form (column / op / value),,interactivity_enabled,NOT_GATED,SHOW*,SHOW,SHOW,SHOW,SHOW,pipeline-static has interactivity_enabled=false but code does NOT check this flag → full interactive form shown. BUG.,Hide/disable full form for pipeline-static. Show read-only message instead (e.g. 'Filters are set by the pipeline configuration').
LEFT,Accordion > Filters,Add Row button,,interactivity_enabled,NOT_GATED,SHOW*,SHOW,SHOW,SHOW,SHOW,Same bug as above — Add Row shows for pipeline-static,Hide for pipeline-static
LEFT,Accordion > Filters,Apply / Audit button,,interactivity_enabled,NOT_GATED,SHOW*,SHOW,SHOW,SHOW,SHOW,Same bug,Hide for pipeline-static
LEFT,Accordion > Filters,Reset button,,interactivity_enabled,NOT_GATED,SHOW*,SHOW,SHOW,SHOW,SHOW,Same bug,Hide for pipeline-static
LEFT,Accordion > Filters,Remove row button (✕),,interactivity_enabled,IMPLEMENTED,SHOW*,SHOW,SHOW,SHOW,SHOW,Eve: homogenise — use trash/bin icon 🗑 instead of ✕ to match the audit pipeline (UI_user_test §pipeline audit),Replace ✕ with 🗑 trash icon — same style as right sidebar audit node delete button
LEFT,Accordion > System Tools — Export Bundle,Bundle name field,,export_bundle_enabled,NOT_GATED,SHOW*,SHOW*,SHOW,SHOW,SHOW,Current label: 'Your name (no spaces)…'. Eve: rename label + add hover tooltip explaining naming requirements.,"Rename placeholder to 'Bundle name (no spaces, no special chars)'. Add hover/tooltip: 'Used in the exported filename. Letters, numbers, hyphens and underscores only.'"
LEFT,Accordion > System Tools — Export Bundle,Preset selector (Web vs Publication),,export_bundle_enabled,NOT_GATED,SHOW*,SHOW*,SHOW,SHOW,SHOW,Eve: overlap with Export Active Graph selector — UI spacing too tight (UI_user_test §left sidebar). Also wants DPI info visible.,Add at least 10px spacing. Rename 'Web / Presentation' and 'Publication (≥600 DPI)' — add a small ℹ hover: '300 DPI recommended for presentations; ≥600 DPI for journal figures'.
LEFT,Accordion > System Tools — Export Bundle,Plot format selector (SVG / PNG / PDF),,export_bundle_enabled,MISSING,HIDE,HIDE,SHOW,SHOW,SHOW,Eve wants a plot format selector — default PNG (users understand PNG). SVG for web/interactive; PDF for LaTeX pipelines (UI_user_test §1 Export bundle).,Add radio or select: 'Plot format: PNG (default) / SVG / PDF'. Show for export_bundle_enabled personas.
LEFT,Accordion > System Tools — Export Bundle,Audit report format selector (HTML / PDF / DOCX),,export_bundle_enabled,PARTIAL,HIDE,HIDE,SHOW,SHOW,SHOW,Currently separate buttons for HTML and Pandoc PDF/DOCX. Eve wants a single format selector then one Export button (UI_user_test §1 Export bundle).,Consolidate to: format selector (HTML / PDF / DOCX via Pandoc) + single 'Export Audit Report' button. PDF/DOCX disabled if Pandoc not available (show tooltip).
LEFT,Accordion > System Tools — Export Bundle,Export Bundle download button,,export_bundle_enabled,NOT_GATED,SHOW*,SHOW*,SHOW,SHOW,SHOW,export_bundle_enabled=true in templates for static+simple but code does not check flag. BUG — shows to all.,Gate on bootloader.is_enabled('export_bundle_enabled'). Should be SHOW for static+simple (flag=true) — so result stays same but via proper flag check.
LEFT,Accordion > System Tools — Session,Session import (.zip upload),,session_management_enabled,HARDCODED_WRONG,HIDE,HIDE*,SHOW,SHOW,SHOW,BUG: template says pipeline-exploration-simple should have session_management_enabled=true but hardcoded check hides it (PERSONA-1). Eve also noted: we have import but NO export of .zip session (UI_user_test §left sidebar).,Fix: replace hardcoded persona set with bootloader.is_enabled('session_management_enabled'). Add Export Session .zip download button alongside import.
LEFT,Accordion > System Tools — Session,Session export (.zip download),,session_management_enabled,MISSING,HIDE,HIDE*,SHOW,SHOW,SHOW,Not implemented. Only import exists. Eve: 'We have an import .zip session but not export a .zip session' (UI_user_test §left sidebar).,Add download button: 'Export Session (.zip)'. Active when a session is loaded. Gate same as import.
LEFT,Accordion > System Tools — Data Ingestion,Metadata ingestion (replacement TSV upload),,metadata_ingestion_enabled,NOT_GATED,SHOW*,SHOW*,SHOW*,SHOW,SHOW,No is_enabled check — shows to all. Deferred Phase 22.,Gate on bootloader.is_enabled('metadata_ingestion_enabled'). HIDE for static + simple.
LEFT,Accordion > System Tools — Data Ingestion,Multi-file / Excel data ingestion,,data_ingestion_enabled,NOT_GATED,SHOW*,SHOW*,SHOW*,SHOW,SHOW,No is_enabled check. Flag: static=false / simple=false / advanced=false / project-indep=true / developer=true,Gate on bootloader.is_enabled('data_ingestion_enabled'). HIDE for static / simple / advanced.
LEFT,Accordion > System Tools,Export Active Graph (single plot),,export_graph_enabled,DEFERRED,HIDE,HIDE,SHOW,SHOW,SHOW,Deferred Phase 22. Eve confirmed wants it. Flag exists in templates.,Build per Phase 22 spec — single plot file + recipe fragment. Gate on export_graph_enabled.
RIGHT,Right Sidebar,Full audit stack (T3 recipe + gatekeeper),,right_sidebar_visibility,IMPLEMENTED,HIDE,HIDE,SHOW,SHOW,SHOW,OK — layout element excluded (not CSS-hidden) for static and simple. Center column expands correctly.,No structural change needed. Visual polish: see next row.
RIGHT,Right Sidebar,Active plot header ('My Adjustments — <plot_id>'),,always_on,IMPLEMENTED,HIDE,HIDE,SHOW,SHOW,SHOW,Eve: header must be MORE VISIBLE. Currently hard to read. 'Bold + yellow background + a little space between the applied adjustments' (UI_user_test §right sidebar).,Make header: bold + yellow/amber background (#fffde7 = existing sandbox yellow). Add 4-6px bottom margin before first node.
RIGHT,Right Sidebar,Comparison mode toggle,,comparison_mode_enabled,NOT_CHECKED,HIDE*,HIDE*,SHOW,SHOW,SHOW,comparison_mode_enabled flag exists but right sidebar visibility is driven by persona-name check — not independently checked. BUG: Compare T2/T3 button does not hold state on plot switch (AUDIT-4 in tasks.md).,Fix AUDIT-4: reactive scoping bug causes compare toggle to reset on plot switch. Separately: gate comparison toggle on comparison_mode_enabled flag.
